location.location_num,location.location_name,location.address_1,location.address_2,location.address_3,location.zipcode,location.location_status,location.operator_guid,location.concept_type_code,location.location_type_code,location.service_team_name,location.operator_team_name,location.market_name,location.business_consultant_guid,location.gmt_offset,location.gps_latitude,location.gps_longitude,location.has_dining_room,location.has_drive_thru,location.drv_thru_num_approach_lanes,location.drv_thru_num_order_points,location.drv_thru_num_pickup_windows,location.offers_wireless,location.playground,location.rpp_mobile_payment,location.rpp_mobile_ordering,location.rpp_alist,location.rpp_serves_breakfast,location.rpp_serves_limited_menu,location.rpp_delivery,location.rpp_catering
80538,Brigham Young University,685 E University Pkwy,Cougareat Food Court,2240 WSC,84602-2410,open,2c8c47e98434ba4d8a5953c5d24013d6,LIC,COLL,West Region Team #1,Utah South,Salt Lake City  UT,8be2561e6bc4a942b95488caff08ab1e,,40.248509,-111.647149,N,N,,,,N,none,,,,,,,
80539,Dallas Baptist University,3000 Mountain Creek Pkwy,Mahler Student Center,,75211-6700,open,22fb99af888c0d4f89ad1f3f9a508188,LIC,COLL,SW Region Team #3,DFW-Arlington,Dallas-Ft. Worth  TX,cad27220a8f60043a50741593ce31309,,32.7102,-96.947,N,N,,,,N,none,,,,,,,
3359,College Point FSU,12015 20th Ave,,,11356-2114,never opened,,CFA,FSU,,,New York  NY,,,40.782,-73.833,N,N,,,,N,none,,,,,,,
3360,Las Soleras FSU,5060 Promenade Blvd,,,87507-5500,future,,CFA,FSU,West Region Team #1,New Mexico,Albuquerque-Santa Fe  NM,64d4a5796786467498f2c5dad9991255,,35.6173,-106.0303,N,Y,1,2,1,N,interior,,,,,,,
3366,Sherwood Way FSU,3720 S. FM 2288,,,76904,future,,CFA,FSU,SW Region Team #1,West Texas,San Angelo  TX,78936b780a974f4886a6e21d2b383e5b,,31.4281,-100.5129,N,Y,3,3,2,N,interior,,,,,,,
3369,West Deerfield Beach FSU,3648 W Hillsboro Blvd,,,33442-9405,future,,CFA,FSU,SE Region Team #2,Palm,Miami-Ft. Lauderdale  FL,06c047e9d6b5b34e9958a2b2f8b5a5c0,,26.31742,-80.15441,N,N,,,,N,none,,,,,,,
3371,405 @ Atlantic LB FSU,33rd @ Atlantic Blvd,,,90802,future,,CFA,FSU,West Region Team #1,LA County South,Los Angeles  CA,d9700bc0f01e43488d2117e4c01b36c8,,33.81702,-118.18495,N,Y,2,2,1,N,none,,,,,,,
80541,Methodist University,5400 Ramsey St,Berns Student Center,,28311-1420,open,c8397e0ec1ea4da79339d48e454fb402,LIC,COLL,AT Region Team #1,Eastern NC 3,Raleigh-Durham (Fayetteville)  NC,717bb3f3d5594bc2a054a565d86f9a83,,35.134334,-78.872124,N,N,,,,N,none,,,,,,,
3377,Terminated St. Charles FSU,2911 Veterans Memorial Pkwy,,,63303,never opened,,CFA,FSU,MW Region Team #1,St. Louis,St. Louis  MO,5fc7945f2b0c4b4292933e8ab8244516,,38.78377,-90.52619,N,N,,,,N,none,,,,,,,
3378,Greystone FSU,5375 Highway 280,Highway 280 and Cahaba Valley Road,,35242-5317,future,,CFA,FSU,SE Region Team #3,Birmingham South,Birmingham (Anniston and Tuscaloosa)  AL,334358b60422a54f95ff86a01747a2e0,,33.41958,-86.67251,N,Y,2,2,1,N,interior,,,,,,,
3379,Coral Reef FSU,SW 152nd Street & SW 127th Ave,Coral Reef Commons,,,future,,CFA,FSU,SE Region Team #2,Miami/Ft Lauderdale,Miami-Ft. Lauderdale  FL,4e6ac67735ee514992b93eb36b98454a,,25.626,-80.396,N,N,,,,N,none,,,,,,,
3382,Bel Air FSU,NW Corner of Baltimore Pike @ Kelly Avenue,,,,future,,CFA,FSU,NE Region Team #1,Baltimore Northeast,Baltimore  MD,6ad7d0ce7ab1434cb3c3c24984d2b587,,39.52879,-76.35286,N,N,,,,N,none,,,,,,,
3373,Watchung FSU,1701 Us Highway 22,,,07069-6512,never opened,,CFA,FSU,NE Region Team #1,New Jersey North,New York  NY,3a18118a1c6f324595bf21cfac0862d0,,40.64969,-74.40759,N,N,,,,N,none,,,,,,,
3385,I-35W & Western Center Blvd FSU,I-35W and Western Blvd,,,,future,,CFA,FSU,SW Region Team #3,DFW Midcities South,Dallas-Ft. Worth  TX,361a2efcce1b458babd099e10ffde0db,,32.8621,-97.3158,N,Y,2,2,1,N,interior,,,,,,,
3392,Terminated Terminated Pacific Highway FSU,32065 Pacific Highway South,,,98003,never opened,,CFA,FSU,West Region Team #1,Seattle,Seattle-Tacoma  WA,d9700bc0f01e43488d2117e4c01b36c8,,47.31407,-122.31388,N,N,,,,N,none,,,,,,,
